date,cumulative_pnl
2026-08-06,-1444.0
2026-08-06,-1441.3
2026-08-07,-1425.1
2026-08-07,-1412.5
2026-08-07,-1393.6
2026-08-10,-1382.8
2026-08-10,-1365.7
2026-08-10,-1349.5
2026-08-11,-1335.1
2026-08-11,-1321.6
2026-08-11,-1306.3
2026-08-12,-1290.1
2026-08-12,-1276.6
2026-08-12,-1365.8
2026-08-13,-1349.6
2026-08-13,-1359.5
2026-08-13,-1343.3
2026-08-14,-1329.8
2026-08-14,-1414.5
2026-08-14,-1403.7
2026-08-17,-1387.5
2026-08-17,-1479.4
2026-08-17,-1462.3
2026-08-18,-1452.4
2026-08-18,-1434.4
2026-08-18,-1519.1
2026-08-19,-1502.0
2026-08-19,-1488.5
2026-08-19,-1472.3
2026-08-20,-1456.1
2026-08-20,-1450.0
2026-08-20,-1438.3
2026-08-21,-1523.0
2026-08-21,-1513.1
2026-08-21,-1500.5
2026-08-24,-1583.4
2026-08-24,-1569.9
2026-08-24,-1552.8
2026-08-25,-1538.4
2026-08-25,-1522.2
2026-08-25,-1505.1
2026-08-26,-1489.8
2026-08-26,-1477.2
2026-08-26,-1468.2
2026-08-27,-1451.1
2026-08-27,-1438.5
2026-08-27,-1444.0
2026-08-28,-1432.3
2026-08-28,-1415.2
2026-08-28,-1403.5
2026-08-31,-1388.2
2026-08-31,-1371.1
2026-08-31,-1353.1
